time,frequency_mhz,width_khz,peak,diff
20170310_051901,90.987999,36.000000,-75.373764,3.979637
20170310_051910,95.785500,43.000000,-73.787247,3.850716
20170310_051918,99.501999,60.000000,-74.790390,3.667610
20170310_051920,100.683502,35.000000,-70.996124,6.877449
